idx,item_id,recipy_id
0,7,3634421546801733
1,9,487421142894375
2,11,731061175791250
3,16,2370401376148244
4,18,2888051441050642
5,28,432681134439656
6,29,1788411289064062
7,33,3656681550548628
8,47,3129601466246647
9,48,2209451353937987
10,52,3085851461236023
11,53,1060721211361859
12,55,2745481426608432
13,57,2496241392227804
14,59,1662411274350097
15,62,1060721211361859
16,65,1761121285778290
17,71,2544621398346305
18,75,394391128115092
19,76,76291029165788
20,78,2086671337088304
21,79,1992341322734748
22,81,553661153065656
23,86,2548751399017972
24,88,659801167813122
25,89,2112871340456280
26,90,724811175204415
27,91,724811175204415
28,92,1517231256916820
29,96,1837311297873528
30,99,299371109646498
31,100,2624891412322854
32,102,3376591502293119
33,105,1685041276766429
34,106,1065561211894905
35,107,2416481381504573
36,111,2454321386514057
37,131,1752731284790601
38,134,2815341433540576
39,141,2565771401567564
40,144,2845601436616663
41,150,984391203855153
42,151,3149001468841020
43,152,3466251516439784
44,153,3209551477742270
45,156,1068161212386879
46,157,2335711371814266
47,158,2846771436714168
48,159,711051173726257
49,160,1702841279013318
50,162,1447111249573636
51,165,2320081369842763
52,171,3073261459943810
53,172,3077861460453946
54,173,3083191460964579
55,174,3091031461763041
56,176,3096091462342225
57,177,3102451463136367
58,180,2798581431975114
59,182,307121111012072
60,192,1506861256068993
61,194,3176191472720214
62,201,3250251483585089
63,218,1325791237390546
64,233,2254761360838985
65,235,986291204022173
66,236,2683481420984362
67,238,3340191496253269
68,251,2284081364249625
69,259,953361200908735
70,269,3018351454642629
71,272,2417661381679042
72,273,1276151232988282
73,278,88571034598082
74,303,1523561257544603
75,316,1865881302769990
76,326,1531391258719946
77,336,1086481214563173
78,342,2617951411123859
79,347,1269971232181141
80,352,1490471254144765
81,353,2411021380830086
82,357,1893541308390518
83,360,2247691360001682
84,363,2268031362316268
85,364,1060721211361859
86,369,1598821267116713
87,370,1140961220353733
88,373,543571151830172
89,374,124101053267913
90,375,1476941252935758
91,383,1264071231687423
92,385,607986204779
93,388,3366511500749606
94,389,3037861456417132
95,391,1610671268346497
96,392,3104251463327009
97,395,1938281315551026
98,396,1719761280763729
99,398,1829701296565703
100,400,2256021360956086
101,405,1121751218457629
102,412,3018271454614261
103,413,2150281345318056
104,416,1526371257927049
105,419,2005801325064611
106,425,1708981279777359
107,431,1033851208511941
108,432,2233091357731425
109,434,3190311474823166
110,441,576871156419929
111,442,413581131376118
112,443,1148691221142991
113,445,2855381437655964
114,448,395311128278203
115,450,2612761410342002
116,451,138951060063840
117,452,2395641378929844
118,453,138991060064850
119,457,1191261224953261
120,458,789921182336239
121,463,91571035806720
122,464,478101141778477
123,465,595141159177551
124,466,1709991279862546
125,467,210041087904893
126,468,158421069412420
127,470,2542761398156007
128,475,492531143547952
129,479,2897051442072225
130,491,1868701303456712
131,496,1160201222160620
132,504,3506011522333110
133,511,401681129236193
134,515,233461095697551
135,519,1841691298474634
136,530,2861361438252099
137,563,3067671459282615
138,576,2395631378922175
139,578,2693911422176421
140,579,2163261347277358
141,583,2222271355675943
142,586,2332321371473819
143,587,278261105753740
144,594,1052531210233584
145,606,3641221548042256
146,614,1065561211894905
147,634,1574751265019004
148,640,2855621437672940
149,650,641291165156830
150,651,2051681331794948
151,653,1222931227619762
152,654,1686551276926253
153,658,125541053781247
154,661,120601051347428
155,708,698541172413023
156,711,3634421546801733
157,716,1725211281688957
158,725,1083181214113878
159,737,3343761496848832
160,754,699221172493333
161,760,2359751374849474
162,761,980831203580155
