"idx","description"
721,"2 Stück Regenburger"
722,"2 Paar Wiener"
723,"2 Stück Wollwürste abgebräunt"
724,"2 Paar Kalbsbratwürstl abgebräunt"
725,"2 Stück Pfälzer vom Rost"
726,"Schweinefleisch sauer im Wurzelsud in der Terrine, Salzkartoffel "
727,"Kalbskopf (ausgelöst) gebacken mit Sauce remoulade und gemischtem Salat"
728,"4 Stück Schweinswürstl sauer im Wurzelsud (blaue Zipfl)"
729,"Wellfleisch auf Sauerkraut und Salzkartoffel"
730,"Kälberfüße (ausgelöst) gebacken mit Sauce remoulade, gemischtem Salat"
731,"Kälberfüße gesotten, sauer im Wurzelsud in der Terrine, Salzkartoffeln"
732,"Kälberfüße abgebräunt mit Kartoffelsalat"
733,"Geröstetes Ochsenfleisch mit Zwiebeln und Ei, gemischtem Salat"
734,"Rinderkopf-Backerl gesotten mit frisch geriebenem Kren und Salzkartoffel"
735,"und frischem Tagesgemüse"
736,"Beinfleisch (durchwachsen) mit frisch geriebenem Kren, Salzkartoffel"
737,"Reiberdatschi und Sauerkraut"
738,"Schweinszüngerl gesotten auf Sauerkraut und Salzkartoffel"
739,"Kuheuter gebacken mit Sauce Remoulade und Kartoffelsalat"
740,"Kalbskron gesotten mit frisch geriebenem Kren, Salzkartoffel"
741,"Salzkartoffel - in der Terrine"
742,"Kalbslüngerl mit Semmelknöd"
743,"Schweinskron gesotten mit frisch geriebenem Kren, Salzkartoffel"
744,"Omelette mit frische Champignons, gemischter Salat"
745,"Drei Stück hausgemachte Reiberdatschi mit Apfelmus oder Sauerkraut"
746,"Geröstete Knödl mit Zwiebeln und Ei, gemischter Salat"
747,"Käse Überbacken"
748,"Frische Champignons in Rahm in der Terrine mit Semmelknödl"
749,"Schinkennudel (hausgemachte Nudel), gemischter Salat"
750,"Allgäuer Käsespatzen mit Röstzwiebel und gemischtem Salat"
751,"Münchner Leberkäs abgebräunt mit Spiegelei und gemischtem Salat"
752,"Kinder-Wiener-Schnitzel mit hausgemachte Butternudeln"
753,"Pfannkuchen mit Marmelade gefüllt"
754,"Kaiserschmarrn mit Kompott"
755,"Apfelschmarrn nach ""Großmutters Art"""
756,"Hausgemachte Zwetschgenbavese"
757,"Hausgemachter Apfelstrudel mit Sahne"
758,"2 St. Apfelkücherl ln Bierteig gebacken, Vanilleeis und Sahne"
759,"1/2 Birne ""Helene"" auf Vanilleeis, Schokosauce und Sahne"
760,"Gemischtes Eis mit Sahne und Waffel"
761,"Rote Grütze mit Vanillesauce"
