"idx","page_id","value"
0,"1","Richard Süßmeier"
1,"3","Festwirt Richard Süßmeier"
2,"22","Festwirt: Josef Kraus"
3,"25","Pächter: Wilhelm Mendler"
4,"27","Wilh. Mendler"
5,"30","Wilh. Mendler"
6,"33","Wilh. Mendler"
7,"36","Wilh. Mendler"
8,"39","Wilhelm Mendler"
9,"133","Georg Heide"
10,"134","Familie Pschorr"
11,"334","Otto Stumbeck"
12,"364","Johann Schäffler"
