"idx","Name","Straße","Hausnummer","PLZ","Stadtteil","Stadt","Bundesland","Land","URL","Eröffnung","Schließung","Breitengrad","Längengrad","Qualität","Präzision"
54,"Hauptbahnhof Gaststätten München, Nordbau III. Klasse","Arnulfstr.","30","80335","Stadtbezirk 03 Maxvorstadt","München","Bayern","Germany",,,,"48.1423963","11.5555177","house","0.321"
55,"Helgoland, Restaurant","Fraunhoferstr.","33","80469","Bezirksteil Gärtnerplatz","München","Bayern","Germany",,,"vermtl.","48.128961","11.5749077","house","0.321"
56,"Hippodrom, Festzelt","Bavariaring",,"80336","Bezirksteil St. Paul","München","Bayern","Germany",,"1902","2013","48.1336862","11.5536309","tertiary","0.32"
57,"Hofbräuhaus, Festhalle","Bavariaring",,"80336","Bezirksteil St. Paul","München","Bayern","Germany",,"1955",,"48.1336862","11.5536309","tertiary","0.32"
58,"Hofbräuhaus, Münchner","Platzl","9","80331","Bezirksteil Graggenau","München","Bayern","Germany","http://www.hofbraeuhaus.de/de/","vor 1850",,"48.13757095","11.5799814031","restaurant","0.6706721675"
59,"Holzkirchner Bahnhof, Gaststätten am","Bayerstr.","14","80335","Bezirksteil St. Paul","München","Bayern","Germany",,,,"48.1393774","11.5551731","company","0.321"
60,"Holzmüllerstuben","Augustenstr.","10","80333","Stadtbezirk 03 Maxvorstadt","München","Bayern","Germany",,"vor 1965",,"48.145067","11.5605772","doctors","0.321"
61,"Humplmayr","Maximilianspl.","17","80333",,"München","Bayern","Germany",,"vor 1957",,"48.152126","11.544467",,"0.15"
62,"Insel Helgoland, Restaurant zur","Fraunhoferstr.","33","80469","Bezirksteil Gärtnerplatz","München","Bayern","Germany",,,"vermtl.","48.128961","11.5749077","house","0.321"
63,"Johne's Goldenes Fassl, Weinfestzelt Café Bar","Bavariaring",,"80336","Bezirksteil St. Paul","München","Bayern","Germany",,,"vermtl.","48.1336862","11.5536309","tertiary","0.32"
64,"Käfer-Schänke","Bavariaring",,"80336","Bezirksteil St. Paul","München","Bayern","Germany",,"1971",,"48.1336862","11.5536309","tertiary","0.32"
65,"Kaiserglocke, Gaststätte","Schwanthalerstr.","90","80336","Bezirksteil St. Paul","München","Bayern","Germany",,,"vermtl.","48.1374977","11.5556857","secondary","0.31"
66,"Kaiserhof, Café Restaurant Hotel","Schützenstr.","12","80335","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,"vor 1898","vermtl.","48.1400178","11.5624628629","hotel","0.421"
67,"Klösterl, Restaurant zum","Schneckenburger Str.","31","81675","Bezirksteil Steinhausen","München","Bayern","Germany","https://www.merkur.de/lokales/regionen/kloesterl-gehen-lichter-402809.html",,"2008","48.1379177","11.6082493","restaurant","0.421"
68,"Künstlerhaus, München, Lenbachplatz 8 - Café, Konditorei","Lenbachpl.","8","80333",,"München","Bayern","Germany","https://the-grill-munich.de/",,,"48.152126","11.544467",,"0.15"
69,"Künstlerhaus, München, Lenbachplatz 8","Lenbachpl.","8","80333",,"München","Bayern","Germany","https://the-grill-munich.de/",,,"48.152126","11.544467",,"0.15"
70,"Kurtz, Weinrestaurant","Augustinerstr.","1","80331","Bezirksteil Kreuzviertel","München","Bayern","Germany",,"vor 1915","vermtl.","48.1384542","11.5722656","restaurant","0.321"
71,"Landsknecht, Gastwirtschaft zum","Landwehrstr.","47","80336","Bezirksteil Ludwigsvorstadt-Kliniken","München","Bayern","Germany",,,"vermtl.","48.1363315","11.5629998","residential","0.31"
